id_string,customer_id_string,lender_state,origination_date,due_date,term_weeks,principal_amount,total_due_amount,paid_amount,fee_amount,collateral_assessed,collateral_sold,defaulted
0001,0001,MS,2013-08-21,2013-09-18,4,1080.0,1180.0,1180.0,20.0,6389.02,0.0,0
0002,0001,FL,2015-02-18,2015-05-13,12,790.0,1090.0,1089.9600000000003,0.0,4860.16,0.0,0
0003,0002,MS,2013-10-21,2013-11-18,4,1410.0,1510.0,1510.0,0.0,7843.65,0.0,0
0004,0003,TN,2015-05-15,2015-06-12,4,1530.0,1630.0,0.0,0.0,6710.72,5262.51,1
0005,0004,AL,2019-04-04,2019-05-02,4,940.0,1040.0,1040.0,0.0,6970.92,0.0,0
0006,0004,FL,2015-01-01,2015-03-26,12,960.0,1260.0,1260.0,20.0,8128.56,0.0,0
0007,0004,FL,2012-05-26,2012-06-23,4,1040.0,1140.0,1140.0,0.0,6174.99,0.0,0
0008,0004,TN,2016-09-11,2016-12-04,12,1270.0,1570.0,1569.96,40.0,7098.75,0.0,0
0009,0005,FL,2016-03-15,2016-04-12,4,1020.0,1120.0,1120.0,0.0,5356.87,0.0,0
0010,0005,FL,2019-01-15,2019-02-12,4,1020.0,1120.0,0.0,0.0,5378.41,0.0,1
0011,0005,MS,2016-11-30,2016-12-28,4,840.0,940.0,940.0,0.0,5637.44,0.0,0
0012,0006,FL,2017-08-01,2017-10-24,12,830.0,1130.0,1130.04,0.0,4482.45,0.0,0
0013,0007,FL,2012-12-06,2013-02-28,12,650.0,950.0,950.0399999999998,0.0,4567.3,0.0,0
0014,0007,FL,2012-02-01,2012-02-29,4,620.0,720.0,720.0,0.0,4519.46,0.0,0
0015,0008,TN,2019-04-04,2019-05-02,4,860.0,960.0,960.0,20.0,5258.31,0.0,0
0016,0008,FL,2017-01-30,2017-02-27,4,870.0,970.0,970.0,0.0,4189.79,0.0,0
0017,0009,FL,2019-02-28,2019-03-28,4,1320.0,1420.0,0.0,0.0,7539.97,6320.64,1
0018,0009,FL,2019-11-25,2019-12-23,4,1190.0,1290.0,0.0,0.0,6175.45,5552.16,1
0019,0009,FL,2016-09-05,2016-10-03,4,1050.0,1150.0,1150.0,0.0,6484.3,0.0,0
0020,0010,FL,2018-05-05,2018-07-28,12,1010.0,1310.0,1310.0400000000002,40.0,5119.25,0.0,0
0021,0011,FL,2019-03-14,2019-04-11,4,710.0,810.0,0.0,0.0,6030.18,5731.57,1
0022,0012,TN,2014-08-25,2014-09-22,4,1150.0,1250.0,1250.0,20.0,6465.09,0.0,0
0023,0013,TN,2019-04-07,2019-05-05,4,800.0,900.0,900.0,0.0,5554.0,0.0,0
0024,0013,FL,2015-05-04,2015-06-01,4,1260.0,1360.0,1360.0,20.0,5314.54,0.0,0
0025,0013,MS,2014-02-02,2014-03-02,4,970.0,1070.0,1070.0,0.0,4799.49,0.0,0
