id_string,loan_id_string,amount,date,direction,is_late,fee
00001,0001,295.0,2013-08-28,debit,0,0.0
00002,0001,295.0,2013-09-04,debit,0,0.0
00003,0001,295.0,2013-09-12,debit,1,20.0
00004,0001,295.0,2013-09-18,debit,0,0.0
00005,0002,90.83,2015-02-25,debit,0,0.0
00006,0002,90.83,2015-03-04,debit,0,0.0
00007,0002,90.83,2015-03-11,debit,0,0.0
00008,0002,90.83,2015-03-18,debit,0,0.0
00009,0002,90.83,2015-03-25,debit,0,0.0
00010,0002,90.83,2015-04-01,debit,0,0.0
00011,0002,90.83,2015-04-08,debit,0,0.0
00012,0002,90.83,2015-04-15,debit,0,0.0
00013,0002,90.83,2015-04-22,debit,0,0.0
00014,0002,90.83,2015-04-29,debit,0,0.0
00015,0002,90.83,2015-05-06,debit,0,0.0
00016,0002,90.83,2015-05-13,debit,0,0.0
00017,0003,377.5,2013-10-28,debit,0,0.0
00018,0003,377.5,2013-11-04,debit,0,0.0
00019,0003,377.5,2013-11-11,debit,0,0.0
00020,0003,377.5,2013-11-18,debit,0,0.0
00021,0005,260.0,2019-04-11,debit,0,0.0
00022,0005,260.0,2019-04-18,debit,0,0.0
00023,0005,260.0,2019-04-25,debit,0,0.0
00024,0005,260.0,2019-05-02,debit,0,0.0
00025,0006,105.0,2015-01-08,debit,0,0.0
00026,0006,105.0,2015-01-15,debit,0,0.0
00027,0006,105.0,2015-01-22,debit,0,0.0
00028,0006,105.0,2015-01-29,debit,0,0.0
00029,0006,105.0,2015-02-05,debit,0,0.0
00030,0006,105.0,2015-02-12,debit,0,0.0
00031,0006,105.0,2015-02-20,debit,1,20.0
00032,0006,105.0,2015-02-26,debit,0,0.0
00033,0006,105.0,2015-03-05,debit,0,0.0
00034,0006,105.0,2015-03-12,debit,0,0.0
00035,0006,105.0,2015-03-19,debit,0,0.0
00036,0006,105.0,2015-03-26,debit,0,0.0
00037,0007,285.0,2012-06-02,debit,0,0.0
00038,0007,285.0,2012-06-09,debit,0,0.0
00039,0007,285.0,2012-06-16,debit,0,0.0
00040,0007,285.0,2012-06-23,debit,0,0.0
00041,0008,104.66400000000002,2016-09-19,debit,1,20.0
00042,0008,104.66400000000002,2016-09-25,debit,0,0.0
00043,0008,104.66400000000002,2016-10-02,debit,0,0.0
00044,0008,104.66400000000002,2016-10-09,debit,0,0.0
00045,0008,104.66400000000002,2016-10-17,debit,1,20.0
00046,0008,104.66400000000002,2016-10-23,debit,0,0.0
00047,0008,104.66400000000002,2016-10-30,debit,0,0.0
00048,0008,104.66400000000002,2016-11-06,debit,0,0.0
00049,0008,104.66400000000002,2016-11-13,debit,0,0.0
00050,0008,104.66400000000002,2016-11-20,debit,0,0.0
00051,0008,104.66400000000002,2016-11-27,debit,0,0.0
00052,0008,104.66400000000002,2016-12-04,debit,0,0.0
00053,0008,104.66400000000002,2016-12-11,debit,0,0.0
00054,0008,104.66400000000002,2016-12-18,debit,0,0.0
00055,0008,104.66400000000002,2016-12-25,debit,0,0.0
00056,0009,224.0,2016-03-22,debit,0,0.0
00057,0009,224.0,2016-03-29,debit,0,0.0
00058,0009,224.0,2016-04-05,debit,0,0.0
00059,0009,224.0,2016-04-12,debit,0,0.0
00060,0009,224.0,2016-04-19,debit,0,0.0
00061,0011,235.0,2016-12-07,debit,0,0.0
00062,0011,235.0,2016-12-14,debit,0,0.0
00063,0011,235.0,2016-12-21,debit,0,0.0
00064,0011,235.0,2016-12-28,debit,0,0.0
00065,0012,94.17,2017-08-08,debit,0,0.0
00066,0012,94.17,2017-08-15,debit,0,0.0
00067,0012,94.17,2017-08-22,debit,0,0.0
00068,0012,94.17,2017-08-29,debit,0,0.0
00069,0012,94.17,2017-09-05,debit,0,0.0
00070,0012,94.17,2017-09-12,debit,0,0.0
00071,0012,94.17,2017-09-19,debit,0,0.0
00072,0012,94.17,2017-09-26,debit,0,0.0
00073,0012,94.17,2017-10-03,debit,0,0.0
00074,0012,94.17,2017-10-10,debit,0,0.0
00075,0012,94.17,2017-10-17,debit,0,0.0
00076,0012,94.17,2017-10-24,debit,0,0.0
00077,0013,79.17,2012-12-13,debit,0,0.0
00078,0013,79.17,2012-12-20,debit,0,0.0
00079,0013,79.17,2012-12-27,debit,0,0.0
00080,0013,79.17,2013-01-03,debit,0,0.0
00081,0013,79.17,2013-01-10,debit,0,0.0
00082,0013,79.17,2013-01-17,debit,0,0.0
00083,0013,79.17,2013-01-24,debit,0,0.0
00084,0013,79.17,2013-01-31,debit,0,0.0
00085,0013,79.17,2013-02-07,debit,0,0.0
00086,0013,79.17,2013-02-14,debit,0,0.0
00087,0013,79.17,2013-02-21,debit,0,0.0
00088,0013,79.17,2013-02-28,debit,0,0.0
00089,0014,180.0,2012-02-08,debit,0,0.0
00090,0014,180.0,2012-02-15,debit,0,0.0
00091,0014,180.0,2012-02-22,debit,0,0.0
00092,0014,180.0,2012-02-29,debit,0,0.0
00093,0015,240.0,2019-04-11,debit,0,0.0
00094,0015,240.0,2019-04-19,debit,1,20.0
00095,0015,240.0,2019-04-25,debit,0,0.0
00096,0015,240.0,2019-05-02,debit,0,0.0
00097,0016,194.0,2017-02-06,debit,0,0.0
00098,0016,194.0,2017-02-13,debit,0,0.0
00099,0016,194.0,2017-02-20,debit,0,0.0
00100,0016,194.0,2017-02-27,debit,0,0.0
00101,0016,194.0,2017-03-06,debit,0,0.0
00102,0019,287.5,2016-09-12,debit,0,0.0
00103,0019,287.5,2016-09-19,debit,0,0.0
00104,0019,287.5,2016-09-26,debit,0,0.0
00105,0019,287.5,2016-10-03,debit,0,0.0
00106,0020,87.33600000000001,2018-05-12,debit,0,0.0
00107,0020,87.33600000000001,2018-05-19,debit,0,0.0
00108,0020,87.33600000000001,2018-05-27,debit,1,20.0
00109,0020,87.33600000000001,2018-06-02,debit,0,0.0
00110,0020,87.33600000000001,2018-06-09,debit,0,0.0
00111,0020,87.33600000000001,2018-06-16,debit,0,0.0
00112,0020,87.33600000000001,2018-06-23,debit,0,0.0
00113,0020,87.33600000000001,2018-06-30,debit,0,0.0
00114,0020,87.33600000000001,2018-07-07,debit,0,0.0
00115,0020,87.33600000000001,2018-07-14,debit,0,0.0
00116,0020,87.33600000000001,2018-07-21,debit,0,0.0
00117,0020,87.33600000000001,2018-07-28,debit,0,0.0
00118,0020,87.33600000000001,2018-08-05,debit,1,20.0
00119,0020,87.33600000000001,2018-08-11,debit,0,0.0
00120,0020,87.33600000000001,2018-08-18,debit,0,0.0
00121,0022,312.5,2014-09-01,debit,0,0.0
00122,0022,312.5,2014-09-09,debit,1,20.0
00123,0022,312.5,2014-09-15,debit,0,0.0
00124,0022,312.5,2014-09-22,debit,0,0.0
00125,0023,180.0,2019-04-14,debit,0,0.0
00126,0023,180.0,2019-04-21,debit,0,0.0
00127,0023,180.0,2019-04-28,debit,0,0.0
00128,0023,180.0,2019-05-05,debit,0,0.0
00129,0023,180.0,2019-05-12,debit,0,0.0
00130,0024,272.0,2015-05-11,debit,0,0.0
00131,0024,272.0,2015-05-18,debit,0,0.0
00132,0024,272.0,2015-05-26,debit,1,20.0
00133,0024,272.0,2015-06-01,debit,0,0.0
00134,0024,272.0,2015-06-08,debit,0,0.0
00135,0025,267.5,2014-02-09,debit,0,0.0
00136,0025,267.5,2014-02-16,debit,0,0.0
00137,0025,267.5,2014-02-23,debit,0,0.0
00138,0025,267.5,2014-03-02,debit,0,0.0
00139,0026,85.33600000000001,2018-07-13,debit,0,0.0
00140,0026,85.33600000000001,2018-07-20,debit,0,0.0
00141,0026,85.33600000000001,2018-07-27,debit,0,0.0
00142,0026,85.33600000000001,2018-08-04,debit,1,20.0
00143,0026,85.33600000000001,2018-08-10,debit,0,0.0
00144,0026,85.33600000000001,2018-08-17,debit,0,0.0
00145,0026,85.33600000000001,2018-08-24,debit,0,0.0
00146,0026,85.33600000000001,2018-08-31,debit,0,0.0
00147,0026,85.33600000000001,2018-09-07,debit,0,0.0
00148,0026,85.33600000000001,2018-09-14,debit,0,0.0
00149,0026,85.33600000000001,2018-09-21,debit,0,0.0
00150,0026,85.33600000000001,2018-09-28,debit,0,0.0
00151,0026,85.33600000000001,2018-10-05,debit,0,0.0
00152,0026,85.33600000000001,2018-10-12,debit,0,0.0
00153,0026,85.33600000000001,2018-10-19,debit,0,0.0
00154,0028,280.0,2018-05-05,debit,0,0.0
00155,0028,280.0,2018-05-12,debit,0,0.0
00156,0028,280.0,2018-05-19,debit,0,0.0
00157,0028,280.0,2018-05-27,debit,1,20.0
00158,0030,180.0,2013-08-24,debit,0,0.0
00159,0030,180.0,2013-08-31,debit,0,0.0
00160,0030,180.0,2013-09-07,debit,0,0.0
00161,0030,180.0,2013-09-14,debit,0,0.0
00162,0030,180.0,2013-09-21,debit,0,0.0
00163,0031,116.25,2014-03-18,debit,0,0.0
00164,0031,116.25,2014-03-25,debit,0,0.0
00165,0031,116.25,2014-04-01,debit,0,0.0
00166,0031,116.25,2014-04-08,debit,0,0.0
00167,0031,116.25,2014-04-15,debit,0,0.0
00168,0031,116.25,2014-04-22,debit,0,0.0
00169,0031,116.25,2014-04-30,debit,1,20.0
00170,0031,116.25,2014-05-06,debit,0,0.0
00171,0032,112.5,2016-05-05,debit,0,0.0
00172,0032,112.5,2016-05-12,debit,0,0.0
00173,0032,112.5,2016-05-19,debit,0,0.0
00174,0032,112.5,2016-05-26,debit,0,0.0
00175,0032,112.5,2016-06-02,debit,0,0.0
00176,0032,112.5,2016-06-09,debit,0,0.0
00177,0032,112.5,2016-06-16,debit,0,0.0
00178,0032,112.5,2016-06-23,debit,0,0.0
00179,0033,342.5,2019-12-07,debit,0,0.0
00180,0033,342.5,2019-12-14,debit,0,0.0
00181,0033,342.5,2019-12-21,debit,0,0.0
00182,0033,342.5,2019-12-28,debit,0,0.0
